Restaurant,Cuisine,Neighborhood,Dollar,Address,City,State,latitude,longitude,precision,service
Liberty Tavern,American,Clarendon,$$$,3195 Wilson Blvd.,Clarendon,VA,38.8861913479413,-77.096826373794,place,OpenStreetMaps
Little Serow,Thai,Dupont Circle,$$$$,1511 17th St. NW,Washington,DC,38.910153,-77.038299,amenity,OpenStreetMaps
Lyon Hall,French,Clarendon,$$$,3100 N. Washington Blvd.,Clarendon,VA,38.885686,-77.094964,place,OpenStreetMaps
The Majestic,American,Old Town Alexandria,$$$,911 King St.,Old Town Alexandria,VA,,,ERROR: list index out of range,OpenStreetMaps
Makoto,Japanese,Palisades,$$$$,4822 MacArthur Blvd. NW,Washington,DC,38.9167327,-77.0963702,amenity,OpenStreetMaps
Maple Ave. Restaurant,Asian Fusion,Vienna,$$,147 Maple Ave.,Vienna,VA,38.897180244898,-77.2704884489796,place,OpenStreetMaps
Marcel's,French,West End,$$$$,2401 Pennsylvania Ave.,Washington,DC,38.9033344,-77.0517211,amenity,OpenStreetMaps
Minibar,American,Penn Quarter,$$$$,855 E St. NW,Washington,DC,38.8962132881853,-77.0234953056351,place,OpenStreetMaps
Mintwood Place,American,Adams Morgan,$$$,1813 Columbia Rd. NW,Washington,DC,38.9220544,-77.0435595,shop,OpenStreetMaps
Montmartre,French,Eastern Market,$$$,327 7th St. SE,Washington,DC,38.8853898,-76.9963647,amenity,OpenStreetMaps
Nava Thai,Thai,Wheaton,$$,11301 Fern St. ,Wheaton,MD,39.0407767241379,-77.049344183908,place,OpenStreetMaps
Nopa Kitchen & Bar,American,Penn Quarter,$$$,800 F. St. NW,Washington,DC,38.897125,-77.023111,place,OpenStreetMaps
Nostos,Greek,Tysons Corner,$$$,8100 Boone Blvd.,Tysons Corner,VA,38.913214,-77.225783,place,OpenStreetMaps
Obelisk,Italian,Dupont Circle,$$$$,2029 P St. NW,Washington,DC,38.909793,-77.0463016,amenity,OpenStreetMaps
Oval Room,American,Downtown,$$$$,800 Connecticut Ave. NW,Washington,DC,38.9004157,-77.0384717,amenity,OpenStreetMaps
Palena & Palena Caf_,American,Cleveland Park,$$$$,3529 Connecticut Ave. NW,Washington,DC,38.9364358,-77.0585436,amenity,OpenStreetMaps
Passage to India,Indian,Bethesda,$$,4931 Cordell Ave.,Bethesda,MD,38.9889574693878,-77.0986355102041,place,OpenStreetMaps
PassionFish,Seafood,Reston,$$$,11960 Democracy Dr.,Reston,VA,38.9579694489796,-77.3575983061224,place,OpenStreetMaps
Pearl Dive Oyster Palace,Seafood,Logan Circle,$$$,1612 14th St. NW,Washington,DC,38.9116314,-77.0322597,amenity,OpenStreetMaps
Proof,American,Penn Quarter,$$$$,775 G St. NW,Washington,DC,38.8986469,-77.0226604,building,OpenStreetMaps
Rappahannock Oyster Bar,Seafood,Northeast,$$,1309 5th St. NE,Washington,DC,38.90860435,-76.997407154167,amenity,OpenStreetMaps
Rasika,Indian,Penn Quarter,$$$,633 D St. NW,Washington,DC,38.894978,-77.0213706,amenity,OpenStreetMaps
Rasika West End,Indian,West End,$$$,1190 New Hampshire Ave. NW,Washington,DC,38.9051690196062,-77.0477857198157,place,OpenStreetMaps
Ray's the Steaks,Steakhouse,Courthouse,$$$,2300 Wilson Blvd.,Courthouse,VA,,,ERROR: list index out of range,OpenStreetMaps
Ray's to the Third,Steakhouse,Courthouse,$$$,1650 Wilson Blvd.,Courthouse,VA,,,ERROR: list index out of range,OpenStreetMaps
The Red Hen,American,Bloomingdale,$$$,1822 1st St. NE,Washington,DC,38.9078071,-77.0058844,highway,OpenStreetMaps
Restaurant Eve,American,Old Town Alexandria,$$$$,110 S Pitt St. ,Old Town Alexandria,VA,,,ERROR: list index out of range,OpenStreetMaps
Restaurant at Patowmack Farm,American,Lovettsville,$$$$,42461 Lovettsville Rd.,Lovettsville,VA,39.280751,-77.559387,place,OpenStreetMaps
Rice Paper,Vietnamese,Seven Corners,$,6775 Wilson Blvd.,Seven Corners,VA,38.8720008,-77.1553293,highway,OpenStreetMaps
Ripple,American,Cleveland Park,$$$,3417 Connecticut Ave. NW,Washington,DC,38.9349673,-77.057668,amenity,OpenStreetMaps
Ris,American,West End,$$$,2275 L St. NW,Washington,DC,38.9039558,-77.0497946,amenity,OpenStreetMaps
Rogue 24,American,Mount Vernon Triangle,$$$$,922 N St. NW,Washington,DC,38.9065656,-77.0248564,amenity,OpenStreetMaps
Rose's Luxury,American,Eastern Market,$$$,717 8th St. SE,Washington,DC,38.8810036510364,-76.9950797125559,place,OpenStreetMaps
Ruan Thai,Thai,Wheaton,$$,11407 Amherst Ave.,Wheaton,MD,39.0416385,-77.048023,place,OpenStreetMaps
Rus Uz,Russian,Ballston,$$,1000 N. Randolph St.,Ballston,VA,,,ERROR: list index out of range,OpenStreetMaps
Seasonal Pantry,American,Mount Vernon Triangle,$$$$,1314 1/2 9th St. NW,Washington,DC,38.8972577,-77.0239516,highway,OpenStreetMaps
1789,American,Georgetown,$$$$,1226 36th St. NW,Washington,DC,38.9060191,-77.0704195,amenity,OpenStreetMaps
The Source,Asian Fusion,Penn Quarter,$$$$,575 Pennsylvania Ave N.W.,Washington,DC,38.893361,-77.0196161,amenity,OpenStreetMaps
Sushi Sono,Japanese,Columbia,$$$,10215 Wincopin Cir.,Columbia,MD,39.2160358,-76.8557755,amenity,OpenStreetMaps
Sushi Taro,Japanese,Dupont Circle,$$$$,1503 17th St. NW,Washington,DC,38.909944,-77.0382421,amenity,OpenStreetMaps
Table,American,Mount Vernon Triangle,$$$,903 N St. NW,Washington,DC,38.9073228502213,-77.0241903492455,place,OpenStreetMaps
Toki Underground,Japanese,H Street,$,1234 H St. NE,Washington,DC,38.9003573,-76.9890321,amenity,OpenStreetMaps
2941,American,Falls Church,$$$$,2941 Fairview Park Dr.,Falls Church,VA,,,ERROR: list index out of range,OpenStreetMaps
2 Amy's,Pizza ,Cathedral Heights,$$,3715 Macomb St. NW,Washington,DC,38.933677,-77.073102,amenity,OpenStreetMaps
Vermillion,American,Old Town Alexandria,$$$$,1120 King St.,Old Town Alexandria,VA,,,ERROR: list index out of range,OpenStreetMaps
Vidalia,Southern,Dupont Circle,$$$$,1990 M St. NW,Washington,DC,38.9054817,-77.0445142,amenity,OpenStreetMaps
Vin 909 Winecafe,American,Annapolis,$$,909 Bay Ridge Ave.,Annapolis,MD,38.9683449,-76.487047,highway,OpenStreetMaps
Westend Bistro,American,West End,$$$$,1190 22nd St. NW,Washington,DC,38.9048951,-77.0490631,place,OpenStreetMaps
Woodberry Kitchen,American,Baltimore,$$$$,2010 Clipper Park Rd.,Baltimore,MD,39.33195215,-76.6457294253685,building,OpenStreetMaps
Woodward Table,American,Downtown,$$$,1430 H St. NW,Washington,DC,38.9001181034672,-77.0325329972626,place,OpenStreetMaps
Zaytinya,Greek,Penn Quarter,$$$,701 9th St. NW,Washington,DC,38.898805,-77.023721,amenity,OpenStreetMaps
